"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"856f38334acd06b4d1172931d5f9a619"	68	36	35	46	72	67	0	170	0	3	28	21	8	0	0	0	0	0	0	6	71	68	119	67	88	22	74	45	97	63	24	61	93	68
"11b1b9498d856449b6356b82684d5912"	51	23	28	28	38	32	0	79	0	0	58	0	0	58	128	0	135	0	224	87	32	0	42	33	14	25	54	123	37	115	0	0	41	21
"ebfcee89238bfdd3d216f97a2804d805"	0	22	39	0	0	0	62	124	28	79	71	0	75	133	161	204	104	71	0	0	67	0	36	0	22	0	50	32	34	47	0	0	0	45
"3c2b89ee1f14f41731c3f9bb8cd8b84c"	164	61	155	103	3	0	0	239	0	0	0	242	56	0	0	0	0	0	0	0	0	0	182	0	34	43	0	0	124	0	56	40	0	0
"b60765bf2e10d524fe9872a961bc4c53"	60	11	79	35	0	0	80	161	47	128	0	96	55	0	65	0	57	152	0	0	0	0	62	20	30	0	159	0	38	14	25	95	24	0
"224169c210046c499c00e917faa08715"	0	45	27	0	36	34	21	111	53	64	52	68	54	95	126	0	39	65	33	70	46	60	46	39	20	0	113	0	61	36	0	0	34	45
"8b7893c890c3fc90c1548f44857cfd35"	32	0	20	0	0	0	77	126	73	74	0	159	94	50	331	0	90	139	0	0	35	0	42	0	23	28	39	0	0	0	42	0	0	18
"5253d98d25bc51baaf939f468ca8ef59"	47	21	28	44	72	59	0	54	0	0	99	24	21	0	56	0	0	83	78	122	68	0	63	66	32	38	46	80	28	37	42	24	49	70
"a02848c0cbe248976cd4af4802b9ae79"	111	51	73	28	33	0	17	157	0	0	0	145	82	0	0	0	0	0	0	0	0	0	84	194	24	114	37	17	111	0	34	130	0	0
"f0493d45d43f847aafc24636fd454a71"	7	6	0	3	0	18	7	22	26	47	88	28	26	380	117	4	73	24	8	150	89	64	16	11	9	0	40	65	18	61	5	6	8	12
