	Kingdom	Phylum	Class	Order	Family	Genus	Species
0808fdf5a7ca966fc1a60393691bb308	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	uncultured	uncultured delta proteobacterium	uncultured delta proteobacterium
739cbfcef19817ccdd21235f0500c356	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured Verrucomicrobia bacterium
7f0cc97dfa489c05cecddca79e537ae0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	metagenome	metagenome
55a5e9cc5ecbf0ab7005bda5581d4825	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	uncultured Bacteroidetes bacterium	uncultured Bacteroidetes bacterium
b168e66617381e8a0aabd349a9e2d5c2	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA
5a11eba2ee62020d8bdeb5226929f365	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Flavobacterium sp. PIC-C7
3768317651733ecbb9ef5e361419a19e	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	NA
dde2b6ba3ba896d26f514fb768ab148f	Bacteria	FBP	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
6848e5c18601f974f4bcf33034f91e6b	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	NA
fa0bfc5b671a0016df8fd1840f314bab	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
e44ed9cce2eb0b7eede391e5f53e29df	Bacteria	Cyanobacteria	Oxyphotobacteria	Rhabdogloea smithii SAG 47.91	Rhabdogloea smithii SAG 47.91	Rhabdogloea smithii SAG 47.91	Rhabdogloea smithii SAG 47.91
e15206914527c772cf7ade98644a17b9	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
9d53ec63f330b5055eae739c4053a7c3	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA
90a84c0664bc3eec6d1aa222e4701913	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
87e55ac9ab15a220d481204d7d2656bb	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	uncultured bacterium	uncultured bacterium
246b2ccaf80d7db7d96d9d17f5d281a4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	NA
c1ee0c7bd2a5652c66779004eebac27c	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	NA
195a1adb3342a2b813976ab8a62cc320	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	NA
1c3b419314bbf2d6f8f7eec80a305fee	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	uncultured	uncultured bacterium
8c05343a93e19950e64a207bab0a68d4	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga	uncultured bacterium
8e1f36fcaf7d218d3f20fcb381388674	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	LiUU-11-161	metagenome	metagenome
c045aa84b6fe4e0133753f8f66b5ef79	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	metagenome
5e41b6f8f77a1f4b5542127147676fbb	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	metagenome	metagenome	metagenome
b8544f4c7065245a8949a406eebdab42	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
f92cd5bf2b52f4eb499496da543794fd	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium
46cba7ba7e89731b2a36ed371ad38fe0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
b82e9e16a5f7bbf8e87f0c4431e0dfad	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA	NA
c9f9355d32e264f6bc060415332587bb	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	metagenome
a57e5dd7af17153dad0b02c3cda58f8a	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 04	uncultured bacterium
db1d2135e467142489e9eae67e600301	Bacteria	Planctomycetes	vadinHA49	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
282d970c7e74112691085e63921dbcfd	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	NA
d077c0ff711eabf2c3591a6f9798adb5	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas	uncultured bacterium
d4aa41f753847250c58c369ec11aba8e	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Sclerotinia borealis	Sclerotinia borealis
6aafd36f357e81d4eaa31b4143bf5559	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	uncultured bacterium
aba30509671b5a4a6bcffbd7f4d15ab9	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA
80a4abbe94d791740466ec6a5d937264	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	NA
1223fa4a0a99ed5397fabac4895c5e46	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	uncultured bacterium
61b120aa374bc4f431cb5defee4a7274	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Fimbriiglobus	metagenome
e0d908660a9c489e2b2aa9b145eae00d	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	NA
79c4fe19f50107e4574c3e132885c545	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	uncultured	uncultured Acidobacteria bacterium
